dates,percent
Jan '12,48.6
Feb '12,50.1
Mar  '12,51
Apr '12,50.8
May  '12,50.9
Jun  '12,51.6
Jul '12,52.2
Aug '12,52.6
Sep '12,52.5
Oct '12,53.6
Nov '12,53.7
Dec '12,53.4
Jan '13,52.3
Feb '13,51.7
Mar  '13,52
Apr '13,52
 May  '13,52.4
Jun  '13,52
Jul '13,51.8
Aug '13,51.6
Sep '13,51.8
Oct '13,52.2
Nov '13,51.9
Dec '13,51.5
Jan '14,51.7
Feb '14,52.1
Mar  '14,52.2
Apr '14,52.5
May  '14,52.1
Jun  '14,51.9
Jul '14,51.5
Aug '14,52
Sep '14,52.1
Oct '14,52.3
Nov '14,52.6
Dec '14,53.1
Jan '15,53.2
Feb '15,52.8
Mar  '15,52.4
Apr '15,52.2
 May  '15,52.1
Jun  '15,51.6
Jul '15,51.4
Aug '15,51.7
Sep '15,52.3
Oct '15,52.9
Nov '15,53.1
Dec '15,53.3
